Series,Model,AvgTime
113,Dual-Stage,3126.5534715781864
183,RT,1109.7292122920092
183,RF,21063.168625696348
183,XGB,3199.7329608974883
183,Dual-Stage,2117.3699441375743
057,RT,1484.2799107884684
057,RF,21836.439643110683
057,XGB,4097.272884764844
057,Dual-Stage,5751.705167277551
105,RT,1874.4665333434511
105,RF,21786.640176188
105,XGB,3396.792738091053
105,Dual-Stage,2452.6368976821245
070,RT,1356.7166742585557
070,RF,17866.079103932232
070,XGB,2749.1769543805867
070,Dual-Stage,1176.2741459461263
065,RT,1476.9311639283246
065,RF,19568.70306557381
065,XGB,4702.085319642543
065,Dual-Stage,4702.866827868047
063,RT,900.6904703810541
063,RF,17387.830503022826
063,XGB,2707.1798500668424
063,Dual-Stage,1116.906563334242
077,RT,798.4996489242405
077,RF,18330.579530557683
077,XGB,3412.547741600765
077,Dual-Stage,1581.7101420155402
203,RT,903.2437247237456
203,RF,19372.76998280083
203,XGB,3616.6579677678424
203,Dual-Stage,1564.3201612688877
219,RT,870.9131764925572
219,RF,19638.617275410692
219,XGB,2728.460764693618
219,Dual-Stage,3630.4881179588774
069,RT,1546.1366183097489
069,RF,19571.87948093412
069,XGB,3584.2920153008336
069,Dual-Stage,2495.591396948055
083,RT,1738.56474920972
083,RF,18924.45899696128
083,XGB,2935.0281039957363
083,Dual-Stage,2109.2819760335137
143,RT,1661.5039544955255
143,RF,25532.312772727233
143,XGB,3308.7893181717927
143,Dual-Stage,2519.145819835988
178,RT,877.9063206327128
178,RF,19508.020743977424
178,XGB,3110.2922927784816
178,Dual-Stage,1195.4830609163778
197,RT,823.8065853168798
197,RF,17308.74438078408
197,XGB,2713.6821209109053
197,Dual-Stage,1249.8931771226248
094,RT,1437.3306565249375
094,RF,23907.84031314354
094,XGB,4344.195101010781
094,Dual-Stage,5309.104919148802
074,RT,1824.0133351975205
074,RF,20152.90429610317
074,XGB,4030.064670404392
074,Dual-Stage,3939.3278826720325
188,RT,1489.258898051476
188,RF,21028.11912549906
188,XGB,3372.982917601036
188,Dual-Stage,2951.692488500333
230,RT,923.0843940046966
230,RF,17539.480442406802
