Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win
031,0.32265705866778377,0.006136816395264428,0.43747660331569066,0.32632266971915513,0.00615291874353288,0.43871802831581946,True,20
032,0.6279513275505415,0.00933189596230489,0.5825275783341433,0.6535870299147557,0.009578697567199337,0.5970881492517004,True,20
033,0.22483102959587345,0.006868166875589747,0.3623769312675034,0.23356324927288458,0.006920841361463768,0.3654484393670412,True,17
034,0.5944731430668799,0.00925351981458299,0.5860626525567885,0.6358206898476217,0.009465721605863594,0.5987109920049412,True,18
035,0.7360773022032963,0.008900274052998714,0.6335413030542167,0.7388401335369477,0.008935077431891827,0.6346057731222835,True,14
036,0.25413687378275746,0.005222487178977759,0.38911337467924073,0.259583383400591,0.005269725202716368,0.3927332126674324,True,20
037,8.467043899001246e-05,0.0315413972596252,0.0068878755405568075,8.467043899001239e-05,0.031541397259625195,0.006887875540556807,True,34
038,8.160752910698957e-05,0.030995609414533283,0.006761663230321194,8.172499554510095e-05,0.031014487165708676,0.006764170735022211,True,34
039,9.474960875083591e-05,0.03274016036374947,0.0071575983846991695,9.468083465019955e-05,0.0327249065574798,0.007153807841755622,True,34
040,7.235225844271765e-05,0.029314874633495976,0.006482213114423143,7.265195943270445e-05,0.029360670198018145,0.006493013804330715,False,50
041,7.390677923133519e-05,0.02919936691177688,0.006503931616462991,7.436424595059162e-05,0.02923481954808419,0.006512073190409061,False,50
042,7.928944132088819e-05,0.029782839901016878,0.006641324186002229,7.928944132088819e-05,0.029782839901016878,0.006641324186002229,False,50
043,0.025863296122688118,0.009382187067808726,0.07293548888896288,0.025926561710302425,0.00941358170655982,0.07324021588258636,True,100
044,131.69401481301995,0.04867256892716087,8.09076002128896,131.20964830961236,0.04860486978530446,8.085207632320294,True,48
045,100.93614996122321,0.04018543047045922,7.035913202780551,100.89650306418547,0.04019274476769412,7.039454040623565,True,48
046,97.91396622858746,0.04082233203683398,6.933055596211773,97.95209417011701,0.04084558801559441,6.934268629722713,True,48
047,90.33306615727355,0.03932537898729897,6.706076458892096,90.34081443053124,0.03932859800853382,6.706174186480655,True,48
048,0.00258431246109478,0.09626082914359238,0.032356288320427015,0.0026066701044324663,0.09636752050826083,0.03246818798320356,True,100
049,0.0024221894691918333,0.16172813336127642,0.03098649412774258,0.002411898997463224,0.16007104360429542,0.031046472301184347,True,100
050,0.0021598827152344954,0.14691736461693028,0.02927427666107176,0.00226270752394205,0.1427053185761061,0.029645272671497754,True,100
051,0.001991762009590563,0.10337633243538946,0.02889421140122146,0.0022043779873125494,0.10393841670895239,0.02940685158360089,True,100
052,0.0029015602219953154,0.09330870252342041,0.031803092203458075,0.0029015602219953154,0.09330870252342041,0.031803092203458075,True,100
053,0.10824976916348042,0.19689461494615904,0.21573777923209697,0.1062059097056316,0.19422737217539723,0.2124834754602849,True,2
054,0.08363952685174413,0.0780997706122687,0.19212605693507695,0.08363952685174414,0.0780997706122687,0.19212605693507695,True,3
055,227.74073370441852,0.7417139638023824,6.054713651464957,226.77020965401957,0.7417148599714197,6.053170100761873,True,2
056,173.86155181108015,0.806681485714115,5.938020635757879,243.16285045541213,0.7956388911119154,6.196518931835611,True,2
057,268.31079184535383,0.7571553421755899,6.618811242403825,312.43842536824707,0.7643876709048981,6.7355170834166245,True,2
058,244.19161265589156,1.3383896168058347,6.2099887515071845,241.08385982726855,1.3369399082159243,6.166710996301419,True,2
059,1708.643211982147,0.17047470078658722,29.79396037995255,1709.732598416163,0.17054733238480968,29.796135536557074,True,30
060,20652.413888703053,0.5090749909069558,80.43702914056702,21659.56363611117,0.4915129997137391,81.71134188993753,True,68
061,19026.559860686502,0.3600375017126081,78.94572204767454,19082.840324303987,0.36015001307531386,78.89175200766462,True,68
062,1024.6833417785651,0.38012496804842666,24.50474400597531,1026.2280331478873,0.3766233287632023,24.50841429718692,True,36
063,1034.3758070499323,0.362642003366622,24.842042618032075,1038.9061646254959,0.36259123669259347,24.848250169645695,True,36
